word,dataset_samples,validation_samples,accuracy
hola,128,19,1.000000
adios,107,16,1.000000
gracias,138,21,0.952381
por_favor,119,18,1.000000
perdon,144,22,1.000000
si,99,15,1.000000
no,129,19,1.000000
bien,90,14,0.928571
mal,70,11,1.000000
como_estas,69,10,1.000000
buenos_dias,83,12,1.000000
buenas_tardes,83,12,1.000000
buenas_noches,46,7,1.000000
ayudar,52,8,1.000000
no_entiendo,45,7,1.000000
repetir,45,7,1.000000
donde,52,8,1.000000
que,55,8,1.000000
quien,51,8,1.000000
cuanto,83,12,1.000000
